Country Code,Access to electricity (% of population),Battle-related deaths (number of people),Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),GDP per capita (constant 2015 US$),"Labor force participation rate, total (% of total population ages 15+) (national estimate)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total",Proportion of seats held by women in national parliaments (%),Income Group,Region
SSD,5.4,..,..,..,..,57.617,71.9,23039,11483374,32.3636363636364,Low income,Sub-Saharan Africa
SSF,53.2558710664349,..,73.9431,1572.0784357913,..,62.6028583619521,48.2,1981483,1259889959,27.0339976553341,,Sub-Saharan Africa
SST,94.7947483488559,..,16.1411,12136.5395036554,..,72.9130400157843,22.4414144693519,7301,20031262,21.5065502183406,,Small states
STP,81.3,..,0.0006,1380.60169416257,..,69.718,9.5,61,230871,14.5454545454545,Lower middle income,Sub-Saharan Africa
SUR,99.6,..,0.0213,7186.47308739957,..,73.631,15.2,165,628886,29.4117647058824,Upper middle income,Latin America & Caribbean
SVK,100,..,4.0597,19383.3732009401,61.6,78.119512195122,5.2,273,5426740,22,High income,Europe & Central Asia
SVN,100,..,1.3865,25773.9015835069,58.525,81.9292682926829,1.9,34,2120461,37.7777777777778,High income,Europe & Central Asia
SWE,100,..,4.1599,53937.7967122429,67.529,83.309756097561,2,203,10536632,46.4183381088825,High income,Europe & Central Asia
SWZ,86.4,..,0.0044,3790.16576788091,50.954,64.123,44.7,1321,1230506,17.1428571428571,Lower middle income,Sub-Saharan Africa
SXM,100,..,..,34300.9634216479,..,76.371,..,..,42749,..,High income,Latin America & Caribbean
SYC,100,..,0.0016,16242.4365925219,63.307,75.419512195122,13.1,23,119773,22.8571428571429,High income,Sub-Saharan Africa
SYR,88.4,1660,1.4891,..,..,72.12,18.6,9289,23594623,10.8,Low income,Middle East & North Africa
TCA,100,..,0.0008,54523.0330927151,..,78.008,3.1,2,46198,..,High income,Latin America & Caribbean
TCD,12,61,0.2844,856.832488745342,..,55.069,58,46476,19319064,25.8883248730965,Low income,Sub-Saharan Africa
TEA,98.7474424069608,2772,1640.0877,9774.45468650513,..,75.9085643603807,11.6764097339227,228753,2111139152,23.3100233100233,,East Asia & Pacific (IDA & IBRD)
TEC,100,..,248.8354,10089.5680721267,58.9027080085175,74.6977585417017,9.56302906839522,53435,458602212,25.0628858906929,,Europe & Central Asia (IDA & IBRD)
TGO,59.2,29,0.6856,893.753030300995,..,62.74,35.9,10285,9304337,19.7802197802198,Low income,Sub-Saharan Africa
THA,100,30,29.2105,6408.41432577294,68.239,76.412,7.9,4727,71702435,18.8376753507014,Upper middle income,East Asia & Pacific
TJK,100,..,1.8783,1407.1075436221,..,71.79,24,6521,10389799,26.984126984127,Lower middle income,Europe & Central Asia
TKM,100,..,1.8462,7880.44528570939,..,70.073,31.3,5039,7364438,25.6,Upper middle income,Europe & Central Asia
TLA,98.3852491204833,..,159.672,8612.78979317983,63.4440570327479,75.5699258379688,13.6663728063449,126161,642397939,33.1163065995857,,Latin America & Caribbean (IDA & IBRD)
TLS,100,..,0.0037,1279.21122757564,..,67.689,35.7,1086,1384286,36.9230769230769,Lower middle income,East Asia & Pacific
TMN,96.0574946837091,4372,174.9159,3009.34133947192,..,71.3194560888195,34.7941815337804,592075,723911670,16.9865368089373,,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)"
TON,100,..,0.0005,4680.29974543195,51.415,72.895,8,19,104597,7.14285714285714,Upper middle income,East Asia & Pacific
TSA,99.4087889697405,217,264.4413,2236.80860471582,56.174830797989,72.3247648783903,24.2252224457107,666681,1662580579,17.7206851119894,,South Asia (IDA & IBRD)
TSS,53.2558710664349,..,73.9431,1572.0784357913,..,62.6028583619521,48.2407285889682,1981483,1259889959,27.0339976553341,,Sub-Saharan Africa (IDA & IBRD)
TTO,98.7,..,11.8174,15922.7668349788,55.268,73.49,17.5,284,1367510,28.5714285714286,High income,Latin America & Caribbean
TUN,100,..,3.0705,3967.33387634534,45.394,76.508,10.5,1779,12200431,16.2337662337662,Lower middle income,Middle East & North Africa
TUR,100,106,53.4773,14932.8851363122,53.338,77.156,9.8,10526,85325965,19.8333333333333,Upper middle income,Europe & Central Asia
TUV,100,..,0,4773.34085526672,..,67.105,17,4,9816,6.25,Upper middle income,East Asia & Pacific
TZA,48.3,..,3.12,1092.86413574219,..,66.995,29.7,68724,66617606,37.4045801526718,Lower middle income,Sub-Saharan Africa
